# post-mediated xDR export — synthetic, generated by gen-postmed-xdr.py
REC_SEQ|MED_FILE_ID|SWITCH_ID|REC_TYPE|IMSI|MSISDN|OTHER_PARTY|CELL_ID|APN|START_AT|EVENT_DATE|DURATION_SEC|BYTES_UP|BYTES_DOWN|RATED_AMOUNT|CURRENCY|ROAM_FLAG|MED_STATUS
20260901-000001|MED-20260901-001|SGSN-CENTRAL-01|DATA|001030070115641|998849067246|N/A|28321-077|mms.test|2026-09-01 13:08:53|2026-09-01|4220|633962|74138356||XTS|HOME|UNRATED
20260901-000002|MED-20260901-001|SGSN-CENTRAL-01|DATA|001030419774760|997013092040|N/A|08372-058|ims.test|2026-09-01 18:59:37|2026-09-01|3198|1442406|38898084|0.7340|XTS|HOME|RATED
20260901-000003|MED-20260901-001|MSC-NORTH-01|VOICE|001030195342944|999260256181|995639206523|02751-091|NULL|2026-09-01 11:21:07|2026-09-01|3084|||11.8337|XTS|NATIONAL|RATED
20260901-000004|MED-20260901-001|SGSN-CENTRAL-01|DATA|001030771426975|997035816639|N/A|12816-242|mms.test|2026-09-01 04:56:36|2026-09-01|1213|1631227|77345819|1.2763|XTS|HOME|RATED
20260901-000005|MED-20260901-001|MSC-NORTH-02|VOICE|001030847471846|991409577264|993537508916|17471-107|NULL|2026-09-01 03:09:20|2026-09-01|1065|||5.1220|XTS|HOME|RATED
20260901-000006|MED-20260901-001|MSC-NORTH-02|VOICE|001060630879040|994563292407|990450701737|13999-062|NULL|2026-09-01 06:01:22|2026-09-01|138|||0.5174|XTS|INTL|RATED
20260901-000007|MED-20260901-001|MME-SOUTH-03|DATA|001190107962697|998737155520|N/A|16934-028|ims.test|2026-09-01 19:50:07|2026-09-01|2878|2750797|4772642|0.0997|XTS|HOME|RATED
20260901-000008|MED-20260901-001|MSC-NORTH-01|VOICE|001030896274614|997683356774|996290833747|45528-020|NULL|2026-09-01 16:11:51|2026-09-01|1744||||XTS|HOME|UNRATED
20260901-000009|MED-20260901-001|MME-SOUTH-03|DATA|001060254684751|998001016734|N/A|36234-009|ims.test|2026-09-01 14:34:02|2026-09-01|6687|4885255|67490462|1.3436|XTS|INTL|RATED
20260901-000010|MED-20260901-001|MSC-NORTH-01|VOICE|001060962174233|993530189210|990780129080|50026-111|NULL|2026-09-01 16:21:43|2026-09-01|224|||0.7390|XTS|HOME|RATED
