# post-mediated xDR export — synthetic, generated by gen-postmed-xdr.py — all timestamps are UTC
REC_SEQ|MED_FILE_ID|SWITCH_ID|REC_TYPE|IMSI|MSISDN|OTHER_PARTY|CELL_ID|APN|START_AT|EVENT_DATE|DURATION_SEC|BYTES_UP|BYTES_DOWN|RATED_AMOUNT|CURRENCY|ROAM_FLAG|MED_STATUS|IMEI|DIRECTION
20260903-000001|MED-20260903-001|MSC-NORTH-02|VOICE|001190839384905|991288530100|992547979762|11485-142|NULL|2026-09-03 20:34:39|2026-09-03|1856|||5.6713|XTS|NATIONAL|RATED|007586067040690|MOC
20260903-000002|MED-20260903-001|MSC-NORTH-01|VOICE|001060651578134|992104910705|998833460958|65308-035|NULL|2026-09-03 19:23:16|2026-09-03|1390|||2.9164|XTS|INTL|RATED|009595917220470|MOC
20260903-000003|MED-20260903-001|MSC-NORTH-02|SMS|001060992648953|992441843169|996323876306|22799-111|NULL|2026-09-03 05:31:21|2026-09-03|0|||0.0558|XTS|NATIONAL|RATED|005639698621430|MOC
20260903-000004|MED-20260903-001|MSC-NORTH-02|VOICE|001190345450372|995482451311|991611975488|03744-227|NULL|2026-09-03 04:11:32|2026-09-03|9|||0.0033|XTS|NATIONAL|RATED|004948278643090|MOC
20260903-000005|MED-20260903-001|MSC-NORTH-01|VOICE|001030857468539|998999107484|991288530100|25891-173|NULL|2026-09-03 08:28:35|2026-09-03|3483|||14.7494|XTS|INTL|SUSPENSE|000465481305160|MTC
20260903-000006|MED-20260903-001|MSC-NORTH-01|VOICE|001190182975014|993047726996|994597418727|64897-087|NULL|2026-09-03 23:34:02|2026-09-03|2838|||7.9729|XTS|NATIONAL|RATED|007050391447810|MOC
20260903-000007|MED-20260903-001|SGSN-CENTRAL-01|DATA|001190069404531|994245774834|N/A|12015-112|ims.test|2026-09-03 22:14:38|2026-09-03|6760|314411|15885751|0.0542|XTS|INTL|RATED|007980344633590|NA
20260903-000008|MED-20260903-001|MSC-NORTH-01|SMS|001030565338793|995970764623|996663876371|19367-229|NULL|2026-09-03 20:31:59|2026-09-03|0|||0.0526|XTS|HOME|RATED|002994591135190|MOC
20260903-000009|MED-20260903-001|MME-SOUTH-03|DATA|001030095827666|994981415729|N/A|06001-004|mms.test|2026-09-03 06:36:25|2026-09-03|2017|1432575|1725183|0.0062|XTS|NATIONAL|RATED|008871339450980|NA
20260903-000010|MED-20260903-001|SGSN-CENTRAL-01|DATA|001190048928293|993451754886|N/A|25534-243|internet.test|2026-09-03 23:27:28|2026-09-03|232|1249431|47093845|0.5998|XTS|INTL|SUSPENSE|004094455324500|NA
20260903-000011|MED-20260903-001|MSC-NORTH-02|VOICE|001030122800240|992105972037|995803619952|62476-175|NULL|2026-09-03 16:32:38|2026-09-03|2550|||12.1207|XTS|HOME|RATED|007760956881450|MTC
20260903-000012|MED-20260903-001|MSC-NORTH-01|SMS|001190191290479|998631373554|991288530100|15266-112|NULL|2026-09-03 09:30:11|2026-09-03|0|||0.0619|XTS|HOME|RATED|003211543294570|MTC
20260903-000013|MED-20260903-001|MSC-NORTH-01|VOICE|001030730012612|993976433400|998631373554|08631-060|NULL|2026-09-03 19:36:54|2026-09-03|1570|||8.8980|XTS|HOME|RATED|004684387205960|MTC
20260903-000014|MED-20260903-001|SGSN-CENTRAL-01|DATA|001030774697488|998739484079|N/A|59487-242|internet.test|2026-09-03 00:21:03|2026-09-03|2618|67005|26513786|0.2279|XTS|NATIONAL|RATED|000100412711400|NA
20260903-000015|MED-20260903-001|MSC-NORTH-02|VOICE|001060160866323|992547979762|995970764623|32945-243|NULL|2026-09-03 00:13:40|2026-09-03|2271|||8.2008|XTS|HOME|RATED|000231314270700|MOC
20260903-000016|MED-20260903-001|MSC-NORTH-01|VOICE|001030032361279|994752517356|997051071977|57972-068|NULL|2026-09-03 02:15:32|2026-09-03|1846|||10.4957|XTS|HOME|RATED|003957635726570|MOC
20260903-000017|MED-20260903-001|MME-SOUTH-03|DATA|001190143710483|992105160972|N/A|50067-026|ims.test|2026-09-03 10:24:08|2026-09-03|958|4393607|3256126|0.1072|XTS|NATIONAL|RATED|000236329962700|NA
20260903-000018|MED-20260903-001|MSC-NORTH-01|VOICE|001190839384905|991288530100|995919544249|20848-141|NULL|2026-09-03 08:09:02|2026-09-03|2710||||XTS|INTL|UNRATED|007586067040690|MTC
20260903-000019|MED-20260903-001|MSC-NORTH-01|VOICE|001190513792908|997051071977|992120775644|23723-200|NULL|2026-09-03 10:36:43|2026-09-03|3100|||2.8478|XTS|HOME|RATED|001067628854440|MOC
20260903-000020|MED-20260903-001|MSC-NORTH-02|VOICE|001030866991213|998785648831|993040165538|32116-053|NULL|2026-09-03 00:56:32|2026-09-03|3566|||1.6578|XTS|HOME|RATED|004952093002300|MOC
20260903-000021|MED-20260903-001|SGSN-CENTRAL-01|DATA|001030774697488|998739484079|N/A|41771-221|mms.test|2026-09-03 20:26:24|2026-09-03|1915|3832558|27483699|0.5395|XTS|HOME|RATED|000100412711400|NA
20260903-000022|MED-20260903-001|MME-SOUTH-03|DATA|001060492335173|994557436553|N/A|04187-214|internet.test|2026-09-03 09:02:22|2026-09-03|4842|672955|73511386|1.0853|XTS|HOME|RATED|003377563223140|NA
20260903-000023|MED-20260903-001|MSC-NORTH-01|VOICE|001190433376443|992080399991|992120775644|02270-006|NULL|2026-09-03 15:06:20|2026-09-03|1609|||5.1761|XTS|NATIONAL|RATED|006984765840560|MTC
20260903-000024|MED-20260903-001|MSC-NORTH-02|VOICE|001190356886398|996758769470|992194170638|07599-017|NULL|2026-09-03 06:14:57|2026-09-03|906|||2.4910|XTS|HOME|RATED|006424308459650|MOC
20260903-000025|MED-20260903-001|MSC-NORTH-01|VOICE|001060445008592|990487239781|991611975488|33904-014|NULL|2026-09-03 00:12:18|2026-09-03|239|||0.6787|XTS|HOME|RATED|005478829861160|MTC
20260903-000026|MED-20260903-001|MSC-NORTH-02|SMS|001060141990682|998628901134|995482451311|15458-179|NULL|2026-09-03 08:00:56|2026-09-03|0|||0.0721|XTS|HOME|RATED|001629194637270|MOC
20260903-000027|MED-20260903-001|MSC-NORTH-01|VOICE|001030039469092|990817957468|999724021922|46227-110|NULL|2026-09-03 13:59:53|2026-09-03|2136|||3.5082|XTS|HOME|RATED|008677120476850|MTC
20260903-000028|MED-20260903-001|MSC-NORTH-01|SMS|001060072721772|999448545187|995452561109|65081-041|NULL|2026-09-03 18:52:53|2026-09-03|0|||0.0713|XTS|INTL|RATED|000170641856570|MOC
20260903-000029|MED-20260903-001|SGSN-CENTRAL-01|DATA|001030828238830|991611975488|N/A|59535-112|ims.test|2026-09-03 18:41:41|2026-09-03|731|169788|75536858|0.5599|XTS|INTL|RATED|000678257334830|NA
20260903-000030|MED-20260903-001|MSC-NORTH-01|VOICE|001060074586702|996840840162|992677394099|11583-250|NULL|2026-09-03 11:39:07|2026-09-03|2438|||5.4873|XTS|HOME|RATED|002871642654040|MOC
20260903-000031|MED-20260903-001|MSC-NORTH-01|VOICE|001190487757226|999444982361|997251492373|22366-183|NULL|2026-09-03 11:49:28|2026-09-03|3358|||18.0078|XTS|HOME|RATED|009688088913810|MTC
20260903-000032|MED-20260903-001|MSC-NORTH-01|VOICE|001190465842456|994536808028|997792192843|64690-247|NULL|2026-09-03 13:25:41|2026-09-03|3215|||2.2366|XTS|INTL|RATED|001971979542370|MTC
20260903-000033|MED-20260903-001|MSC-NORTH-01|SMS|001190774607106|992900941360|990817957468|02941-066|NULL|2026-09-03 18:43:10|2026-09-03|0|||0.0713|XTS|HOME|RATED|005985511759390|MOC
20260903-000034|MED-20260903-001|MSC-NORTH-02|VOICE|001190173322090|994476561441|992105160972|05948-172|NULL|2026-09-03 17:26:52|2026-09-03|3573|||16.7522|XTS|INTL|RATED|000224162872560|MOC
20260903-000035|MED-20260903-001|MSC-NORTH-02|VOICE|001190674689167|992037905500|997251492373|03317-010|NULL|2026-09-03 09:17:58|2026-09-03|1817|||0.6708|XTS|INTL|RATED|006898120800340|MOC
20260903-000036|MED-20260903-001|MSC-NORTH-02|VOICE|001060971195721|999309017786|995482451311|28771-001|NULL|2026-09-03 01:08:21|2026-09-03|829|||2.8330|XTS|INTL|RATED|004835046995440|MOC
