EVENT_ID,EVENT_DATE,EVENT_TS,EVENT_TYPE,IMSI,MSISDN,DURATION_SEC,BYTES
EV000001,2026-08-01,2026-08-01 08:14:02,VOICE,001010000000001,+999000000001,183,0
EV000002,2026-08-01,2026-08-01 08:15:40,SMS,001010000000002,+999000000002,0,0
EV000003,2026-08-01,2026-08-01 08:19:11,DATA,001010000000003,+999000000003,0,1048576
EV000004,2026-08-01,2026-08-01 08:22:35,VOICE,001010000000004,+999000000004,47,0
EV000005,2026-08-01,2026-08-01 08:31:07,voice,001010000000005,+999000000005,612,0
EV000006,2026-08-01,2026-08-01 08:44:19,SMS,001010000000006,+999000000006,0,0
EV000007,2026-08-01,2026-08-01 09:02:58,DATA,001010000000007,+999000000007,0,5242880
EV000008,2026-08-01,2026-08-01 09:10:44,MMS,001010000000008,+999000000008,0,204800
EV000009,2026-08-01,2026-08-01 09:27:03,VOICE,001010000000009,+999000000009,95,0
EV000010,2026-08-01,2026-08-01 09:41:26,SMS,001010000000010,+999000000010,0,0
EV000011,2026-08-01,2026-08-01 09:55:12,DATA,001010000000011,+999000000011,0,262144
EV000012,2026-08-01,2026-08-01 10:03:39,VOICE,001010000000012,+999000000012,301,0
